season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
7,SA,93,6,Ep 6,2019-06-20,NA,8.7,7
7,US,94,10,Ep 10,2003-11-20,19900000,8.4,218
4,AU,94,18,Ep 18,2019-09-01,NA,8,39
7,SA,94,7,Ep 7,2019-06-27,NA,9.1,7
7,US,95,11,Ep 11,2003-11-26,20060000,8.5,224
4,AU,95,19,Ep 19,2019-09-02,NA,8.6,39
7,SA,95,8,Ep 8,2019-07-04,NA,9.1,8
7,US,96,12,Ep 12,2003-12-04,22000000,7.9,231
4,AU,96,20,Ep 20,2019-09-03,NA,7.8,38
7,SA,96,9,Ep 9,2019-07-11,NA,9.2,8
7,US,97,13,Ep 13,2003-12-11,22410000,8.3,237
4,AU,97,21,Ep 21,2019-09-09,NA,9,40
7,SA,97,10,Ep 10,2019-07-18,NA,9.3,7
7,US,98,14,Finale,2003-12-14,25230000,8.5,246
4,AU,98,22,Ep 22,2019-09-10,NA,9.2,41
7,SA,98,11,Ep 11,2019-07-25,NA,9.6,7
8,US,99,1,Ep 1,2004-02-01,33270000,8.3,184
4,AU,99,23,Ep 23,2019-09-16,NA,8.6,42
7,SA,99,12,Ep 12,2019-08-01,NA,9,7
8,US,100,2,Ep 2,2004-02-05,23070000,7.8,154
4,AU,100,24,Finale,2019-09-17,NA,8.3,41
7,SA,100,13,Ep 13,2019-08-08,NA,9.3,7
8,US,101,3,Ep 3,2004-02-12,22350000,8.1,159
5,AU,101,1,Ep 1,2020-02-03,NA,8.8,54
7,SA,101,14,Ep 14,2019-08-15,NA,9.1,7
8,US,102,4,Ep 4,2004-02-19,22800000,7.7,150
5,AU,102,2,Ep 2,2020-02-04,NA,8.7,46
7,SA,102,15,Ep 15,2019-08-22,NA,9.1,7
8,US,103,5,Ep 5,2004-02-26,22190000,7.9,160
5,AU,103,3,Ep 3,2020-02-05,NA,9.3,51
7,SA,103,16,Ep 16,2019-08-29,NA,9,7
8,US,104,6,Ep 6,2004-03-04,23220000,7.3,149
5,AU,104,4,Ep 4,2020-02-10,NA,8.6,45
